EID,R,Year
2-s2.0-84920833763,0,2015
2-s2.0-84906243432,0,2014
2-s2.0-84904972025,0,2014
2-s2.0-84906001251,0,2014
2-s2.0-84898715370,0,2014
2-s2.0-84898727225,0,2014
2-s2.0-84896810552,1,2014
2-s2.0-84893618532,0,2014
2-s2.0-84890248789,1,2014
2-s2.0-84894573518,0,2014
2-s2.0-84919458677,1,2014
2-s2.0-84902120500,0,2014
2-s2.0-84911939828,0,2014
2-s2.0-84902125685,0,2014
2-s2.0-84902179615,0,2014
2-s2.0-84902212416,0,2014
2-s2.0-84902991030,0,2014
2-s2.0-84902314040,1,2014
2-s2.0-84917728078,1,2014
2-s2.0-84907379072,0,2014
2-s2.0-84906345397,1,2014
2-s2.0-84899874523,0,2014
2-s2.0-84911887781,0,2014
2-s2.0-84905270481,1,2014
2-s2.0-84907868610,0,2014
2-s2.0-84902129484,0,2014
2-s2.0-84906819122,1,2014
2-s2.0-84908325431,0,2014
2-s2.0-84918537969,0,2014
2-s2.0-84904809629,0,2014
2-s2.0-84912060884,1,2014
2-s2.0-84901484745,0,2014
2-s2.0-84907365143,0,2014
2-s2.0-84907025123,1,2014
2-s2.0-84917729330,1,2014
2-s2.0-84907335290,0,2014
2-s2.0-84902134596,0,2014
2-s2.0-84907022107,1,2014
2-s2.0-84905253996,1,2014
2-s2.0-84902155090,0,2014
2-s2.0-84896118626,0,2014
2-s2.0-84908040090,0,2014
2-s2.0-84902075003,0,2014
2-s2.0-84917736730,1,2014
2-s2.0-84893208369,1,2013
2-s2.0-84887566536,0,2013
2-s2.0-84897881182,0,2013
2-s2.0-84892416745,0,2013
2-s2.0-84893181032,1,2013
2-s2.0-84892427463,0,2013
2-s2.0-84892771410,0,2013
2-s2.0-84893253521,1,2013
2-s2.0-84892422707,0,2013
2-s2.0-84894110937,0,2013
2-s2.0-84888217644,0,2013
2-s2.0-84888226646,0,2013
2-s2.0-84887134243,0,2013
2-s2.0-84887157907,0,2013
2-s2.0-84886890818,0,2013
2-s2.0-84886872524,0,2013
2-s2.0-84886939637,0,2013
2-s2.0-84884247875,1,2013
2-s2.0-84883145498,0,2013
2-s2.0-84881628326,0,2013
2-s2.0-84881330179,0,2013
2-s2.0-84884754825,0,2013
2-s2.0-84884768950,0,2013
2-s2.0-84884802532,0,2013
2-s2.0-84879132619,0,2013
2-s2.0-84876010739,0,2013
2-s2.0-84875999501,0,2013
2-s2.0-84875991603,0,2013
2-s2.0-84876012950,0,2013
2-s2.0-84876010902,1,2013
2-s2.0-84875531580,1,2013
2-s2.0-84876274104,0,2013
2-s2.0-84876236977,0,2013
2-s2.0-84876220547,0,2013
2-s2.0-84876217699,0,2013
2-s2.0-84876241120,0,2013
2-s2.0-84875452103,1,2013
2-s2.0-84875275321,1,2013
2-s2.0-84887400887,0,2013
2-s2.0-84890808158,1,2013
2-s2.0-84871056030,1,2012
2-s2.0-84870832642,1,2012
2-s2.0-84870261279,0,2012
2-s2.0-84874841470,0,2012
2-s2.0-84873166607,1,2012
2-s2.0-84876482103,1,2012
2-s2.0-84874324530,1,2012
2-s2.0-84873726007,1,2012
2-s2.0-84873102339,1,2012
2-s2.0-84873724415,0,2012
2-s2.0-84900607712,1,2012
2-s2.0-84873107986,1,2012
2-s2.0-84872017829,0,2012
2-s2.0-84867525651,1,2012
2-s2.0-84866917141,0,2012
2-s2.0-84866721793,0,2012
2-s2.0-84866647303,1,2012
2-s2.0-84865197275,0,2012
2-s2.0-84866020499,0,2012
2-s2.0-84866039122,0,2012
2-s2.0-84865594764,1,2012
2-s2.0-84865349075,0,2012
2-s2.0-84865170724,0,2012
2-s2.0-84865156626,0,2012
2-s2.0-84865164923,0,2012
2-s2.0-84865183631,0,2012
2-s2.0-84864232757,0,2012
2-s2.0-84862834128,0,2012
2-s2.0-84859467529,0,2012
2-s2.0-84859478215,0,2012
2-s2.0-84859462337,0,2012
2-s2.0-84859477378,0,2012
2-s2.0-84862129494,1,2012
2-s2.0-84856584218,0,2012
2-s2.0-84861896755,0,2012
2-s2.0-84871510555,0,2012
2-s2.0-84865749867,0,2012
