EID,R,Year
2-s2.0-84925388105,0,2015
2-s2.0-84921980577,0,2015
2-s2.0-84924149481,0,2015
2-s2.0-84925723269,0,2015
2-s2.0-84925446345,0,2015
2-s2.0-84924531483,0,2015
2-s2.0-84922548651,0,2015
2-s2.0-84924083988,0,2015
2-s2.0-84923188513,0,2015
2-s2.0-84925302004,0,2015
2-s2.0-84924362991,0,2015
2-s2.0-84925652431,0,2015
2-s2.0-84922369187,0,2015
2-s2.0-84922418857,0,2015
2-s2.0-84923871295,0,2015
2-s2.0-84920747563,0,2015
2-s2.0-84923816343,0,2015
2-s2.0-84924371016,0,2015
2-s2.0-84923788444,0,2015
2-s2.0-84923377388,0,2015
2-s2.0-84922781845,0,2015
2-s2.0-84923065022,0,2015
2-s2.0-84922781647,0,2015
2-s2.0-84920268485,0,2015
2-s2.0-84922362368,0,2015
2-s2.0-84922375087,0,2015
2-s2.0-84923242865,0,2015
2-s2.0-84920913847,0,2015
2-s2.0-84921459273,0,2015
2-s2.0-84921482226,0,2015
2-s2.0-84922343038,0,2015
2-s2.0-84918562672,0,2015
2-s2.0-84921733797,0,2015
2-s2.0-84921417485,0,2015
2-s2.0-84922439965,0,2015
2-s2.0-84923508257,0,2015
2-s2.0-84920736365,0,2015
2-s2.0-84908205533,0,2015
2-s2.0-84923795419,0,2015
2-s2.0-84924667085,0,2015
2-s2.0-84924908668,0,2015
2-s2.0-84923066234,0,2015
2-s2.0-84921327988,0,2015
2-s2.0-84916224164,0,2015
2-s2.0-84921724037,0,2015
2-s2.0-84922960309,0,2015
2-s2.0-84922364236,0,2015
2-s2.0-84922702550,0,2015
2-s2.0-84907339812,0,2015
2-s2.0-84908244429,0,2015
2-s2.0-84922790928,0,2015
2-s2.0-84925533663,0,2015
2-s2.0-84924222996,0,2015
2-s2.0-84925625571,0,2015
2-s2.0-84922022675,0,2015
2-s2.0-84907341231,0,2015
2-s2.0-84920971353,0,2015
2-s2.0-84920518029,0,2015
2-s2.0-84921851334,0,2015
2-s2.0-84921489327,0,2015
2-s2.0-84920540213,0,2015
2-s2.0-84921407514,0,2015
2-s2.0-84910078010,0,2015
2-s2.0-84921048039,0,2015
2-s2.0-84921538825,0,2015
2-s2.0-84921940475,0,2015
2-s2.0-84922570538,0,2015
2-s2.0-84925280152,0,2015
2-s2.0-84922226059,0,2015
2-s2.0-84910155402,0,2015
2-s2.0-84921656902,0,2015
2-s2.0-84924387896,0,2015
2-s2.0-84924995960,0,2015
2-s2.0-84922017225,0,2015
2-s2.0-84908283591,0,2014
2-s2.0-84919915970,0,2014
2-s2.0-84918812378,0,2014
2-s2.0-84918787644,0,2014
2-s2.0-84910079482,0,2014
2-s2.0-84918815439,0,2014
2-s2.0-84918577235,0,2014
2-s2.0-84921802471,0,2014
2-s2.0-84916602589,0,2014
2-s2.0-84914697722,0,2014
2-s2.0-84906691312,0,2014
2-s2.0-84918529602,0,2014
2-s2.0-84919752780,0,2014
2-s2.0-84916899473,0,2014
2-s2.0-84924620013,0,2014
2-s2.0-84911909728,0,2014
2-s2.0-84908405963,0,2014
2-s2.0-84913529131,0,2014
2-s2.0-84910031251,0,2014
2-s2.0-84921403326,0,2014
2-s2.0-84905020380,0,2014
2-s2.0-84914811955,0,2014
2-s2.0-84922423185,0,2014
2-s2.0-84904171749,0,2014
2-s2.0-84911445820,0,2014
2-s2.0-84908042688,0,2014
2-s2.0-84908177088,0,2014
2-s2.0-84901652987,0,2014
2-s2.0-84904360431,0,2014
2-s2.0-84907814963,0,2014
2-s2.0-84907834001,0,2014
2-s2.0-84908230588,0,2014
2-s2.0-84908451741,0,2014
2-s2.0-84919341391,0,2014
2-s2.0-84908424379,0,2014
2-s2.0-84908430599,0,2014
2-s2.0-84909581148,0,2014
2-s2.0-84907266414,0,2014
2-s2.0-84901843724,0,2014
2-s2.0-84921446759,0,2014
2-s2.0-84904577780,0,2014
2-s2.0-84904280646,0,2014
2-s2.0-84907327700,0,2014
2-s2.0-84906842658,0,2014
2-s2.0-84906647652,0,2014
2-s2.0-84909942527,0,2014
2-s2.0-84906302099,0,2014
2-s2.0-84924025032,0,2014
2-s2.0-84906145768,0,2014
2-s2.0-84905251130,0,2014
2-s2.0-84922834050,0,2014
2-s2.0-84922834125,0,2014
2-s2.0-84922833302,0,2014
2-s2.0-84902684919,0,2014
2-s2.0-84922834193,0,2014
2-s2.0-84900825073,0,2014
2-s2.0-84903761045,0,2014
2-s2.0-84925364950,0,2014
2-s2.0-84904272897,0,2014
2-s2.0-84904559255,0,2014
2-s2.0-84904226359,0,2014
2-s2.0-84893900565,0,2014
2-s2.0-84897453189,0,2014
2-s2.0-84897442537,0,2014
2-s2.0-84903695777,0,2014
2-s2.0-84903639108,0,2014
2-s2.0-84901981846,0,2014
2-s2.0-84898062822,0,2014
2-s2.0-84898799488,0,2014
2-s2.0-84902344858,0,2014
2-s2.0-84902336239,0,2014
2-s2.0-84900515838,0,2014
2-s2.0-84894648959,0,2014
2-s2.0-84897091731,0,2014
2-s2.0-84901989910,0,2014
2-s2.0-84901981282,0,2014
2-s2.0-84901024806,0,2014
2-s2.0-84901044325,0,2014
2-s2.0-84900854694,0,2014
2-s2.0-84900385622,0,2014
2-s2.0-84900541373,0,2014
2-s2.0-84899876401,0,2014
2-s2.0-84893704508,0,2014
2-s2.0-84896755800,0,2014
2-s2.0-84899724330,0,2014
2-s2.0-84899579069,0,2014
2-s2.0-84898978600,0,2014
2-s2.0-84900834043,0,2014
2-s2.0-84899764938,0,2014
2-s2.0-84898652890,0,2014
2-s2.0-84897806453,0,2014
2-s2.0-84897894480,0,2014
2-s2.0-84897465974,0,2014
2-s2.0-84898612233,0,2014
2-s2.0-84897445145,0,2014
2-s2.0-84897384747,0,2014
2-s2.0-84895721357,0,2014
2-s2.0-84893835769,0,2014
2-s2.0-84894707168,0,2014
2-s2.0-84894743198,0,2014
2-s2.0-84894769674,0,2014
2-s2.0-84894713927,0,2014
2-s2.0-84894551921,0,2014
2-s2.0-84900628059,0,2014
2-s2.0-84892898337,0,2014
2-s2.0-84900794670,0,2014
2-s2.0-84910609119,0,2014
2-s2.0-84894092353,0,2014
2-s2.0-84895725180,0,2014
