nom,nom,nom,nom,num,
A,S,J,O,APL,R
0,1,0,0,2.82765104,0
0,1,0,0,2.808134504,0
1,0,0,0,2.807911001,0
0,1,0,0,2.818135765,0
0,0,1,0,2.815622275,0
0,0,1,0,2.810587055,0
1,1,0,1,2.808084672,1
0,1,0,0,2.809252845,0
1,1,1,1,2.808084672,1
0,0,1,0,2.813776781,0
1,1,0,0,2.805761731,1
0,0,1,0,2.807481297,0
0,0,1,0,2.81242952,0
0,0,1,0,2.809895833,0
0,0,1,0,2.486316091,0
0,0,1,0,2.831637254,0
0,1,0,0,2.829311434,0
1,1,0,1,2.698866146,1
1,1,0,1,2.805709256,1
0,0,1,0,2.808581674,0
1,1,1,1,2.805709256,1
0,1,0,0,2.839064475,0
0,0,1,0,2.473548562,0
0,1,1,0,2.707690024,1
0,1,0,0,2.809252845,0
0,0,1,0,2.809854785,0
0,1,0,1,2.698866146,1
0,0,1,0,2.809500062,0
0,0,1,0,2.603172539,0
0,0,1,0,2.809252845,0
1,1,1,1,2.810148515,1
0,1,0,0,2.831260418,0
0,1,0,0,2.809252845,0
1,0,0,0,2.807255953,1
0,1,0,0,2.809005443,1
0,0,1,0,2.712624795,0
0,0,1,0,2.486594982,0
1,1,0,0,2.698263173,1
0,1,1,1,2.744032922,1
0,0,1,0,2.384955101,0
0,1,0,0,2.815470992,0
0,0,1,0,2.808134504,0
0,0,1,0,2.398511601,0
1,1,0,1,2.80538094,1
