nom,nom,nom,nom,num,
A,S,J,O,AS,R
0,1,0,0,3668.0,0
0,1,0,0,3866.0,0
1,0,0,0,3830.0,0
0,1,0,0,3826.0,0
0,0,1,0,3820.0,0
0,0,1,0,3842.0,0
1,1,0,1,3818.0,1
0,1,0,0,3856.0,0
1,1,1,1,3818.0,1
0,0,1,0,3842.0,0
1,1,0,0,3834.0,1
0,0,1,0,3854.0,0
0,0,1,0,3832.0,0
0,0,1,0,3842.0,0
0,0,1,0,3812.0,0
0,0,1,0,3812.0,0
0,1,0,0,3752.0,0
1,1,0,1,3804.0,1
1,1,0,1,3840.0,1
0,0,1,0,3862.0,0
1,1,1,1,3840.0,1
0,1,0,0,3570.0,0
0,0,1,0,3838.0,0
0,1,1,0,3736.0,1
0,1,0,0,3856.0,0
0,0,1,0,3848.0,0
0,1,0,1,3804.0,1
0,0,1,0,3852.0,0
0,0,1,0,3840.0,0
0,0,1,0,3856.0,0
1,1,1,1,3848.0,1
0,1,0,0,3764.0,0
0,1,0,0,3856.0,0
1,0,0,0,3856.0,1
0,1,0,0,3860.0,1
0,0,1,0,3856.0,0
0,0,1,0,3810.0,0
1,1,0,0,3810.0,1
0,1,1,1,3754.0,1
0,0,1,0,3792.0,0
0,1,0,0,3822.0,0
0,0,1,0,3866.0,0
0,0,1,0,3802.0,0
1,1,0,1,3842.0,1
1,1,0,1,3866.0,1
1,0,0,0,3848.0,0
0,1,0,0,3780.0,0
0,0,1,0,3864.0,0
1,1,1,1,3806.0,1
0,0,1,0,3856.0,0
1,0,0,0,3778.0,0
0,1,0,1,3804.0,1
0,0,1,0,3842.0,0
0,0,1,0,3826.0,0
0,0,1,0,3790.0,0
1,0,1,0,3792.0,0
0,0,1,0,3856.0,0
0,0,1,0,3868.0,0
0,0,1,0,3822.0,0
0,0,1,0,3818.0,0
0,0,1,0,3862.0,0
1,1,1,1,3828.0,1
0,0,1,0,3820.0,0
1,0,0,0,3848.0,0
0,1,0,0,3584.0,0
0,0,1,0,3830.0,0
0,0,1,0,3862.0,0
0,0,1,0,3802.0,0
0,0,1,0,3864.0,0
0,0,1,0,3862.0,0
0,0,1,0,3856.0,0
0,0,1,0,3820.0,0
0,0,1,0,3830.0,0
1,1,1,1,3788.0,1
1,1,1,1,3866.0,1
0,0,1,0,3856.0,0
0,0,1,0,3848.0,0
0,0,1,0,3854.0,0
0,0,1,0,3850.0,0
0,0,1,0,3848.0,0
1,1,0,1,3732.0,1
1,0,1,0,3820.0,1
1,0,0,0,3856.0,0
1,1,0,1,3802.0,1
0,1,0,1,3866.0,1
1,1,0,1,3802.0,1
0,0,1,0,3844.0,0
0,0,1,0,3844.0,0
1,1,0,1,3864.0,1
1,1,0,1,3802.0,1
1,1,0,1,3850.0,1
1,1,1,0,3832.0,1
0,1,0,1,3804.0,1
0,0,1,0,3858.0,0
1,1,0,1,3804.0,1
1,1,0,1,3814.0,1
1,0,0,0,3836.0,0
1,0,0,0,3782.0,1
0,0,1,0,3856.0,0
0,0,1,0,3838.0,0
1,1,1,1,3814.0,1
0,0,1,0,3858.0,0
0,0,1,0,3832.0,0
0,0,1,0,3832.0,0
